collision_id,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,vehicle_type_code1
4455765,2021-09-11,2:39,UNKNOWN,,,,2,0,AGGRESSIVE DRIVING/ROAD RAGE,SEDAN
4513547,2022-03-26,11:45,UNKNOWN,,,,1,0,PAVEMENT SLIPPERY,SEDAN
4675373,2023-11-01,1:29,BROOKLYN,11230.0,40.62179,-73.970024,1,0,UNSPECIFIED,MOPED
4541903,2022-06-29,6:55,UNKNOWN,,,,0,0,FOLLOWING TOO CLOSELY,SEDAN
4566131,2022-09-21,13:21,UNKNOWN,,,,0,0,PASSING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4623759,2023-04-26,13:30,UNKNOWN,,,,0,0,UNSPECIFIED,SEDAN
4675709,2023-11-01,7:12,UNKNOWN,,,,0,0,FOLLOWING TOO CLOSELY,SEDAN
4675769,2023-11-01,8:01,UNKNOWN,,,,0,0,FAILURE TO YIELD RIGHT-OF-WAY,SEDAN
4623865,2023-04-26,22:20,UNKNOWN,,,,0,0,UNSPECIFIED,SEDAN
4456314,2021-09-11,9:35,BROOKLYN,11208.0,40.667202,-73.8665,0,0,UNSPECIFIED,SEDAN
4486609,2021-12-14,8:13,BROOKLYN,11233.0,40.683304,-73.917274,0,0,,
4407458,2021-04-14,12:47,UNKNOWN,,,,0,0,UNSPECIFIED,DUMP
4486555,2021-12-14,17:05,UNKNOWN,,40.709183,-73.956825,0,0,PASSING TOO CLOSELY,SEDAN
4486660,2021-12-14,8:17,BRONX,10475.0,40.86816,-73.83148,2,0,UNSPECIFIED,SEDAN
4487074,2021-12-14,21:10,BROOKLYN,11207.0,40.67172,-73.8971,0,0,DRIVER INEXPERIENCE,SEDAN
4486519,2021-12-14,14:58,MANHATTAN,10017.0,40.75144,-73.97397,0,0,PASSING TOO CLOSELY,SEDAN
4486934,2021-12-13,0:34,UNKNOWN,,40.701275,-73.88887,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4487127,2021-12-14,16:50,QUEENS,11413.0,40.675884,-73.75577,0,0,TURNING IMPROPERLY,SEDAN
4486634,2021-12-14,8:30,UNKNOWN,,,,0,0,UNSAFE LANE CHANGING,STATION WAGON/SPORT UTILITY VEHICLE
4486564,2021-12-14,0:59,UNKNOWN,,40.59662,-74.00231,0,0,UNSAFE SPEED,SEDAN
4486635,2021-12-14,23:10,QUEENS,11434.0,40.66684,-73.78941,2,0,REACTION TO UNINVOLVED VEHICLE,SEDAN
4486604,2021-12-14,17:58,BROOKLYN,11217.0,40.68158,-73.97463,0,0,PASSING TOO CLOSELY,TANKER
4486991,2021-12-14,20:03,BROOKLYN,11226.0,40.65068,-73.95881,4,0,STEERING FAILURE,SEDAN
4486284,2021-12-14,1:28,UNKNOWN,,,,3,0,TRAFFIC CONTROL DISREGARDED,STATION WAGON/SPORT UTILITY VEHICLE
4487040,2021-12-11,19:43,BRONX,10463.0,40.87262,-73.904686,1,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4486537,2021-12-14,14:30,UNKNOWN,,40.783268,-73.82485,0,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4486905,2021-12-11,4:45,MANHATTAN,10001.0,40.748917,-73.993546,0,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4487122,2021-12-14,5:46,UNKNOWN,,40.744644,-73.77041,1,0,OTHER VEHICULAR,STATION WAGON/SPORT UTILITY VEHICLE
4486967,2021-12-13,6:30,QUEENS,11372.0,40.75373,-73.88505,0,0,UNSPECIFIED,SEDAN
4486304,2021-12-14,3:43,UNKNOWN,,40.804375,-73.93742,1,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4487001,2021-12-13,17:40,STATEN ISLAND,10301.0,40.63165,-74.08762,1,0,UNSPECIFIED,SEDAN
4486516,2021-12-14,17:31,BROOKLYN,11230.0,40.623104,-73.95809,1,0,UNSPECIFIED,SEDAN
4486605,2021-12-14,20:13,BROOKLYN,11215.0,40.66576,-73.9845,0,0,PASSING TOO CLOSELY,SEDAN
4487052,2021-12-14,12:54,BROOKLYN,11217.0,40.687534,-73.9775,1,0,UNSPECIFIED,SEDAN
4486556,2021-12-14,17:15,BROOKLYN,11211.0,40.710957,-73.951126,1,0,PASSING OR LANE USAGE IMPROPER,BUS
4486875,2021-12-14,22:49,BRONX,10455.0,40.81813,-73.910126,0,0,DRIVER INATTENTION/DISTRACTION,TAXI
4486933,2021-12-12,9:00,QUEENS,11385.0,40.70447,-73.90148,0,0,PASSING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4486581,2021-12-14,16:25,UNKNOWN,,40.784615,-73.953964,1,0,DRIVER INATTENTION/DISTRACTION,VAN
4675877,2023-11-02,9:20,UNKNOWN,,,,0,0,ACCELERATOR DEFECTIVE,STATION WAGON/SPORT UTILITY VEHICLE
4407520,2021-04-14,14:30,UNKNOWN,,,,0,0,DRIVER INATTENTION/DISTRACTION,BUS
4486960,2021-12-16,6:59,UNKNOWN,,,,1,0,TRAFFIC CONTROL DISREGARDED,
4624078,2023-04-27,15:40,UNKNOWN,,,,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4566408,2022-09-22,16:16,QUEENS,11418.0,40.698257,-73.82632,1,0,PASSING OR LANE USAGE IMPROPER,SEDAN
4598234,2023-01-12,21:00,BROOKLYN,11208.0,,,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4542336,2022-06-29,16:00,UNKNOWN,,,,1,0,DRIVER INATTENTION/DISTRACTION,MOTORSCOOTER
4407665,2021-04-15,16:15,UNKNOWN,,,,0,0,PAVEMENT SLIPPERY,STATION WAGON/SPORT UTILITY VEHICLE
4456591,2021-07-07,11:42,UNKNOWN,,,,1,0,UNSAFE LANE CHANGING,SEDAN
4624101,2023-04-27,22:13,UNKNOWN,,,,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4545699,2022-07-12,17:50,BROOKLYN,11225.0,40.663303,-73.96049,0,0,OVERSIZED VEHICLE,SEDAN
4512922,2022-03-23,10:00,UNKNOWN,,,,0,0,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,BIKE
4456659,2021-07-09,0:43,UNKNOWN,,40.720535,-73.88885,0,1,UNSPECIFIED,BUS
4521660,2022-04-24,16:45,UNKNOWN,,40.607685,-74.13892,1,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4521759,2022-04-24,4:49,UNKNOWN,,40.855972,-73.869896,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4522226,2022-04-22,17:17,UNKNOWN,,40.790276,-73.9396,1,0,TRAFFIC CONTROL DISREGARDED,E-BIKE
4522015,2022-04-24,1:30,BROOKLYN,11220.0,40.642986,-74.01621,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4521460,2022-04-24,6:00,QUEENS,11411.0,0.0,0.0,0,0,UNSAFE LANE CHANGING,SEDAN
4522156,2022-04-24,21:40,BRONX,10452.0,40.843906,-73.92413,0,0,ALCOHOL INVOLVEMENT,TAXI
4521633,2022-04-24,17:45,BRONX,10466.0,40.89481,-73.86183,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4522124,2022-04-15,6:11,UNKNOWN,,0.0,0.0,1,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4521937,2022-04-24,9:51,UNKNOWN,,40.85169,-73.95238,0,0,UNSPECIFIED,SEDAN
4521801,2022-04-24,0:00,BRONX,10453.0,40.861862,-73.91275,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4522285,2022-03-08,20:00,BROOKLYN,11207.0,40.666256,-73.900215,0,0,UNSPECIFIED,SEDAN
4521853,2022-04-24,15:35,MANHATTAN,10019.0,40.767242,-73.986206,1,0,VIEW OBSTRUCTED/LIMITED,STATION WAGON/SPORT UTILITY VEHICLE
4522228,2022-04-22,12:00,BROOKLYN,11230.0,40.62417,-73.97048,1,0,UNSPECIFIED,SEDAN
4521702,2022-04-24,13:10,UNKNOWN,,40.679955,-73.97491,0,0,TURNING IMPROPERLY,STATION WAGON/SPORT UTILITY VEHICLE
4522167,2022-04-24,4:20,BROOKLYN,11221.0,40.692356,-73.94282,1,0,TRAFFIC CONTROL DISREGARDED,STATION WAGON/SPORT UTILITY VEHICLE
4522196,2022-04-20,19:37,UNKNOWN,,40.78291,-73.98578,0,0,DRIVER INEXPERIENCE,SEDAN
4521758,2022-04-24,16:14,UNKNOWN,,40.67308,-73.91124,0,0,UNSPECIFIED,SEDAN
4522136,2022-04-12,19:56,BROOKLYN,11203.0,40.65011,-73.930214,1,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4521469,2022-04-24,0:30,UNKNOWN,,40.638382,-74.03668,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4521859,2022-04-24,20:13,QUEENS,11419.0,40.69261,-73.81143,0,0,AGGRESSIVE DRIVING/ROAD RAGE,SEDAN
4521590,2022-04-24,15:21,QUEENS,11101.0,40.745235,-73.937706,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4521902,2022-04-24,10:27,UNKNOWN,,,,1,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4521684,2022-04-24,21:00,QUEENS,11106.0,40.758705,-73.93793,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4521858,2022-04-24,21:40,QUEENS,11418.0,40.695156,-73.845406,0,0,REACTION TO UNINVOLVED VEHICLE,AMBULANCE
4522242,2022-04-07,14:14,MANHATTAN,10017.0,40.748158,-73.97033,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4456672,2021-06-29,17:35,UNKNOWN,,40.609535,-73.75372,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4485150,2021-12-09,20:20,BROOKLYN,11223.0,40.59207,-73.96299,1,0,DRIVER INATTENTION/DISTRACTION,BIKE
4485116,2021-12-09,14:50,UNKNOWN,,40.850018,-73.9107,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4485026,2021-12-09,2:45,QUEENS,11422.0,40.653023,-73.73895,1,0,ALCOHOL INVOLVEMENT,SEDAN
4485528,2021-12-06,22:16,UNKNOWN,,40.62573,-73.9564,0,0,UNSAFE SPEED,SEDAN
4485333,2021-12-04,12:00,BROOKLYN,11213.0,40.665375,-73.934235,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4485234,2021-12-08,16:20,MANHATTAN,10128.0,40.776237,-73.943825,0,0,FAILURE TO YIELD RIGHT-OF-WAY,TAXI
4485355,2021-12-09,23:15,BROOKLYN,11218.0,40.640835,-73.98967,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4485581,2021-12-01,14:34,QUEENS,11692.0,40.593636,-73.797264,0,0,UNSAFE SPEED,SEDAN
4485866,2021-12-10,7:00,QUEENS,11420.0,40.674263,-73.80453,0,0,PASSING OR LANE USAGE IMPROPER,SEDAN
4485192,2021-12-07,9:20,UNKNOWN,,40.70476,-73.96491,0,0,STEERING FAILURE,STATION WAGON/SPORT UTILITY VEHICLE
4485214,2021-12-09,8:00,UNKNOWN,,40.569626,-74.190735,0,0,FOLLOWING TOO CLOSELY,SEDAN
4485437,2021-12-07,17:08,BROOKLYN,11205.0,40.698463,-73.960205,0,0,FOLLOWING TOO CLOSELY,
4485408,2021-12-05,8:20,BROOKLYN,11212.0,40.658413,-73.9171,0,0,UNSPECIFIED,SEDAN
4484852,2021-12-08,19:30,MANHATTAN,10022.0,40.76175,-73.96899,1,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4485542,2021-12-08,12:00,MANHATTAN,10011.0,40.736614,-73.9951,1,0,PASSING OR LANE USAGE IMPROPER,BOX TRUCK
4485170,2021-12-10,8:06,UNKNOWN,,,,0,0,UNSAFE LANE CHANGING,GARBAGE OR REFUSE
4485523,2021-12-08,19:30,UNKNOWN,,,,4,0,UNSAFE SPEED,TAXI
4484906,2021-12-08,22:37,STATEN ISLAND,10314.0,40.62121,-74.12385,0,0,PAVEMENT SLIPPERY,SEDAN
4485036,2021-12-08,17:56,UNKNOWN,,40.873737,-73.90593,0,0,UNSPECIFIED,SEDAN
4485772,2021-12-07,7:50,UNKNOWN,,40.66718,-73.95076,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4485565,2021-12-08,0:44,QUEENS,11101.0,40.754295,-73.93946,0,0,VIEW OBSTRUCTED/LIMITED,SEDAN
4484836,2021-12-08,15:00,UNKNOWN,,40.588116,-73.97261,0,0,PASSING TOO CLOSELY,SEDAN
4485340,2021-12-10,11:00,BRONX,10461.0,40.854935,-73.85822,0,0,OVERSIZED VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE
4485706,2021-12-10,1:10,UNKNOWN,,40.662575,-73.93448,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4485384,2021-12-09,0:00,UNKNOWN,,40.7448,-73.953415,1,0,UNSPECIFIED,SEDAN
4484799,2021-12-08,18:36,UNKNOWN,,40.79672,-73.97618,0,0,PASSING OR LANE USAGE IMPROPER,SEDAN
4485077,2021-12-09,20:30,QUEENS,11004.0,40.752777,-73.70743,0,0,ILLNES,SEDAN
4485090,2021-12-09,10:13,BROOKLYN,11203.0,40.638523,-73.92607,2,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4513697,2022-03-26,14:00,STATEN ISLAND,10301.0,40.637833,-74.08193,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513935,2022-03-26,1:02,MANHATTAN,10025.0,40.797836,-73.96946,1,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4513794,2022-03-26,16:02,QUEENS,11373.0,40.734375,-73.87342,1,0,LOST CONSCIOUSNESS,STATION WAGON/SPORT UTILITY VEHICLE
4514267,2022-03-26,16:05,QUEENS,11411.0,40.699947,-73.736626,1,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4514237,2022-03-21,12:05,MANHATTAN,10018.0,40.75632,-73.999275,1,0,FOLLOWING TOO CLOSELY,MOTORCYCLE
4513470,2022-03-26,5:13,QUEENS,11418.0,40.69614,-73.81789,0,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4513751,2022-03-26,17:42,BROOKLYN,11234.0,40.631687,-73.9205,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4514075,2022-03-26,12:18,BRONX,10466.0,40.88839,-73.84666,2,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4513857,2022-03-26,20:10,BRONX,10462.0,40.844425,-73.8639,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4514202,2022-03-26,15:45,BRONX,10472.0,40.833965,-73.8629,2,0,ALCOHOL INVOLVEMENT,STATION WAGON/SPORT UTILITY VEHICLE
4514347,2022-03-26,17:55,BROOKLYN,11206.0,40.705738,-73.944695,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513495,2022-03-26,0:50,BROOKLYN,11236.0,40.637905,-73.8878,0,0,UNSAFE SPEED,SEDAN
4513874,2022-03-26,14:05,BROOKLYN,11210.0,40.635063,-73.94788,1,0,UNSAFE SPEED,STATION WAGON/SPORT UTILITY VEHICLE
4514263,2022-03-26,9:30,UNKNOWN,,40.804153,-73.91304,0,0,UNSPECIFIED,SEDAN
4514323,2022-03-10,8:30,BROOKLYN,11238.0,40.676403,-73.96287,4,0,OTHER VEHICULAR,STATION WAGON/SPORT UTILITY VEHICLE
4514182,2022-03-24,23:00,BRONX,10472.0,40.829777,-73.85055,1,0,UNSPECIFIED,SEDAN
4513515,2022-03-26,7:36,BROOKLYN,11209.0,40.613926,-74.030174,0,0,BRAKES DEFECTIVE,STATION WAGON/SPORT UTILITY VEHICLE
4513663,2022-03-26,11:50,BROOKLYN,11236.0,40.635563,-73.89577,2,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4513953,2022-03-26,17:42,QUEENS,11420.0,40.675167,-73.825264,0,0,PASSING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4513985,2022-03-26,1:45,MANHATTAN,10065.0,40.761486,-73.96061,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4514084,2022-03-26,17:00,BROOKLYN,11249.0,40.712284,-73.964005,0,0,PASSING OR LANE USAGE IMPROPER,SEDAN
4514144,2022-02-25,11:48,QUEENS,11432.0,40.70546,-73.7949,0,0,FOLLOWING TOO CLOSELY,E-SCOOTER
4513606,2022-03-26,22:51,UNKNOWN,,40.74967,-73.99531,1,0,FAILURE TO YIELD RIGHT-OF-WAY,SEDAN
4513564,2022-03-26,8:21,MANHATTAN,10032.0,40.833786,-73.94037,0,0,DRIVER INATTENTION/DISTRACTION,BOX TRUCK
4514412,2022-03-17,8:00,UNKNOWN,,40.67794,-73.8023,1,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4513587,2022-03-26,10:30,BROOKLYN,11220.0,40.637985,-74.0076,0,0,BACKING UNSAFELY,STATION WAGON/SPORT UTILITY VEHICLE
4487185,2021-12-16,9:23,UNKNOWN,,,,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4513565,2022-03-26,13:48,MANHATTAN,10032.0,40.835037,-73.93979,1,0,,
4514286,2022-03-25,9:56,UNKNOWN,,40.9046,-73.852936,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4513637,2022-03-26,23:45,QUEENS,11104.0,40.742508,-73.91788,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513528,2022-03-26,1:26,UNKNOWN,,,,0,0,UNSAFE SPEED,UTILITY
4514139,2022-03-22,9:07,BROOKLYN,11238.0,,,1,0,AGGRESSIVE DRIVING/ROAD RAGE,SEDAN
4513833,2022-03-26,16:00,BROOKLYN,11207.0,40.67046,-73.88788,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513887,2022-03-26,23:17,MANHATTAN,10002.0,40.72224,-73.9863,1,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4514160,2022-03-23,9:00,UNKNOWN,,40.67639,-73.97189,1,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4514002,2022-03-26,5:00,UNKNOWN,,40.88893,-73.86579,0,0,FOLLOWING TOO CLOSELY,SEDAN
4514152,2022-03-25,6:15,UNKNOWN,,40.80118,-73.93975,1,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4513626,2022-03-26,21:50,UNKNOWN,,40.757668,-73.95915,1,0,DRIVER INATTENTION/DISTRACTION,TAXI
4513774,2022-03-26,21:25,BROOKLYN,11225.0,40.668896,-73.95339,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4514376,2022-03-25,18:13,BROOKLYN,11218.0,40.63654,-73.97707,2,0,UNSPECIFIED,SEDAN
4513982,2022-03-26,20:10,BRONX,10456.0,40.831055,-73.905846,1,0,UNSPECIFIED,SEDAN
4514220,2022-03-25,12:55,UNKNOWN,,40.85868,-73.89922,0,0,PASSING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4514413,2022-03-23,11:00,UNKNOWN,,40.62466,-74.17856,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4513664,2022-03-26,3:05,BROOKLYN,11236.0,40.63947,-73.902756,1,0,UNSPECIFIED,SEDAN
4513725,2022-03-26,4:34,BRONX,10468.0,40.86173,-73.91182,1,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4514298,2022-03-26,19:56,BROOKLYN,11201.0,40.69538,-73.985115,0,0,UNSPECIFIED,SEDAN
4513573,2022-03-26,12:40,BROOKLYN,11219.0,40.63063,-74.00923,0,0,UNSPECIFIED,SEDAN
4514201,2022-03-26,1:58,BRONX,10472.0,40.82707,-73.87075,0,0,TURNING IMPROPERLY,SEDAN
4514030,2022-03-26,19:56,UNKNOWN,,40.60548,-73.93922,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4514125,2022-03-26,0:30,BROOKLYN,11221.0,40.692593,-73.91551,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4514194,2022-03-16,15:44,MANHATTAN,10017.0,,,1,0,UNSPECIFIED,BIKE
4514278,2022-03-26,20:05,BROOKLYN,11207.0,40.680664,-73.902626,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513803,2022-03-26,17:54,BROOKLYN,11226.0,40.645718,-73.95002,4,0,PASSING TOO CLOSELY,SEDAN
4514241,2022-03-25,17:55,UNKNOWN,,40.68327,-73.95016,0,0,TRAFFIC CONTROL DISREGARDED,SEDAN
4487210,2021-12-12,9:09,UNKNOWN,,40.84036,-73.91807,0,1,UNSPECIFIED,TAXI
4407811,2021-04-13,16:00,BROOKLYN,11222.0,,,0,0,FOLLOWING TOO CLOSELY,SEDAN
4456746,2021-08-05,18:17,UNKNOWN,,,,0,0,GLARE,SEDAN
4513878,2022-03-26,16:35,BROOKLYN,11235.0,40.577652,-73.96344,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4513735,2022-03-26,19:50,MANHATTAN,10012.0,40.730145,-73.99781,1,0,PASSENGER DISTRACTION,E-BIKE
4513958,2022-03-26,13:19,QUEENS,11420.0,40.67478,-73.806206,0,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4514367,2022-03-25,8:45,BROOKLYN,11230.0,40.624622,-73.97598,2,0,UNSPECIFIED,SEDAN
4513681,2022-03-26,10:10,BROOKLYN,11217.0,40.67271,-73.97089,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4514212,2022-03-26,11:45,UNKNOWN,,40.7314,-73.926094,1,0,REACTION TO UNINVOLVED VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE
4514420,2022-03-25,14:35,UNKNOWN,,40.632786,-74.13712,1,0,FAILURE TO YIELD RIGHT-OF-WAY,SEDAN
4513923,2022-03-26,14:30,STATEN ISLAND,10305.0,40.596733,-74.07045,0,0,BACKING UNSAFELY,SEDAN
